1.,http://product.dangdang.com/24002114.html,朗读手册（三册套装）,吉姆・崔利斯,2016-07-01,新星出版社,31902条评论
2.,http://product.dangdang.com/23340869.html,幸福的种子,松居直,2013-09-01,２１世纪出版社,54128条评论
3.,http://product.dangdang.com/24002050.html,朗读手册（最终修订版）,吉姆・崔利斯,2016-07-01,新星出版社,17472条评论
4.,http://product.dangdang.com/25307564.html,会写作的大脑：给孩子的创意写作练习册（1-4册）,邦妮・纽鲍尔,2018-07-01,中国人民大学出版社,1050条评论
5.,http://product.dangdang.com/25069354.html,如何给孩子读绘本,松居直,2017-05-01,北京联合出版公司,12765条评论
6.,http://product.dangdang.com/25347121.html,给孩子的牛津写作课：套装2册（当当独家版：随书附赠价值128元萌虎学堂配套视频课体验卡）,克里斯托弗・埃奇,2018-10-01,中信出版社,2752条评论
7.,http://product.dangdang.com/23906996.html,[禹田・阅读理论经典书系]说来听听：儿童、阅读与讨论,艾登・钱伯斯,2016-02-16,北京联合出版公司,8519条评论
8.,http://product.dangdang.com/24033689.html,书语者（如何激发孩子的阅读潜能）,唐娜琳・米勒,2016-09-01,新疆青少年出版社,7067条评论
9.,http://product.dangdang.com/24179449.html,我的图画书论,松居直,2017-01-01,新疆青少年出版社,5656条评论
10.,http://product.dangdang.com/25265113.html,说说图画：儿童图画书的叙事艺术,佩里・诺德曼,2018-04-16,贵州人民出版社,1922条评论
11.,http://product.dangdang.com/24216367.html,阅读理论经典书系：图画书宝典,丹尼丝・I.马图卡,2017-01-01,北京联合出版公司,2638条评论
12.,http://product.dangdang.com/22586001.html,阅读的力量,斯蒂芬,2011-12-01,新疆青少年出版社,18900条评论
13.,http://product.dangdang.com/24191697.html,当绘本遇见戏剧:教室里的小剧场,葛琦霞,2017-03-01,外语教学与研究出版社,4891条评论
14.,http://product.dangdang.com/23617217.html,大猫老师的绘本作文课 一年级,陈迅��,2014-12-01,北京联合出版公司,12677条评论
15.,http://product.dangdang.com/25348387.html,莫里斯・桑达克的艺术世界,贾斯汀・G.席勒,2017-06-01,贵州人民出版社,169条评论
16.,http://product.dangdang.com/25242895.html,打造儿童阅读课堂（手把手教你上好一堂阅读课，桂文亚、王林、周益民、周其星倾情推荐）,郭晓莹,2018-03-01,福建少年儿童出版社,1859条评论
17.,http://product.dangdang.com/24045587.html,《大猫老师的绘本作文课?三年级》,陈迅��,2016-10-01,北京联合出版公司,6073条评论
18.,http://product.dangdang.com/23807170.html,大猫老师的绘本作文课・二年级,陈迅��,2015-11-01,北京联合出版公司,8007条评论
19.,http://product.dangdang.com/23332865.html,子涵讲童书（2册套装）,梅子涵,2013-09-01,少年儿童出版社,2863条评论
20.,http://product.dangdang.com/24002051.html,朗读手册Ⅱ,吉姆・崔利斯,2016-07-01,新星出版社,4406条评论
21.,http://product.dangdang.com/23906995.html,[禹田・阅读理论经典书系]打造儿童阅读环境,艾登・钱伯斯,2016-02-16,北京联合出版公司,6871条评论
22.,http://product.dangdang.com/25155176.html,耕林童书馆・图画书为什么重要（童书插画家是怎样炼成的？）,伦纳德・S.马库斯,2017-08-01,江苏凤凰美术出版社,1771条评论
23.,http://product.dangdang.com/20813700.html,《绘本赏析与创意教学》  启发创意教学丛书,余治莹,2010-04-01,河北教育出版社,9220条评论
24.,http://product.dangdang.com/25277368.html,共读绘本的一年,薇薇安・嘉辛・佩利,2018-05-01,北京联合出版有限公司,6766条评论
25.,http://product.dangdang.com/22561762.html,绘本有什么了不起,林美琴,2012-01-01,新疆青少年出版社,9583条评论
26.,http://product.dangdang.com/25283043.html,让孩子着迷的101本书,阿甲,2018-05-01,新疆青少年出版社,788条评论
27.,http://product.dangdang.com/23654447.html,绘本是最好的教科书：跟着儿童心理学家读绘本,吴念阳,2015-03-01,北京大学出版社,4858条评论
28.,http://product.dangdang.com/22480465.html,绘本之力,河合隼雄,2011-08-01,贵州人民出版社,12274条评论
29.,http://product.dangdang.com/25089980.html,游书海 戏童年：让孩子爱上阅读的1001个活动,菲利普,2017-06-09,贵州人民出版社,544条评论
30.,http://product.dangdang.com/23177219.html,花婆婆方素珍  原创绘本馆：绘本阅读时代,方素珍,2013-02-01,浙江少年儿童出版社,4210条评论
31.,http://product.dangdang.com/23991643.html,儿童戏剧魔法棒,王添强,2016-06-01,新疆青少年出版社,2522条评论
32.,http://product.dangdang.com/24005667.html,朗读手册Ⅲ,吉姆・崔利斯,2016-07-01,新星出版社,2535条评论
33.,http://product.dangdang.com/25069624.html,绘本教学工具书：绘本的读写游戏,林美琴,2017-04-01,新疆青少年出版社,1656条评论
34.,http://product.dangdang.com/25069625.html,绘本教学工具书：绘本的手作游戏,林美琴,2017-04-01,新疆青少年出版社,1791条评论
35.,http://product.dangdang.com/22488457.html,松居直喜欢的50本图画书,松居直,2011-08-01,２１世纪出版社,9316条评论
36.,http://product.dangdang.com/22615295.html,图画书应该这样读,彭懿,2012-02-01,接力出版社,10677条评论
37.,http://product.dangdang.com/20856868.html,给孩子100本最棒的书,安妮塔西尔维,2010-05-01,湖南少儿出版社,14556条评论
38.,http://product.dangdang.com/25166305.html,思维导图阅读法,尹丽芳,2017-09-30,中华工商联合出版社,668条评论
39.,http://product.dangdang.com/25252512.html,阅读理论经典书系：读书会的75个阅读作战法,蒙瑟拉,2018-01-01,北京联合出版有限公司,1146条评论
40.,http://product.dangdang.com/23246882.html,《这样读》系列丛书  （共4册）,徐鲁,2012-02-01,接力出版社,1143条评论
41.,http://product.dangdang.com/25162383.html,阅读力：阅读写作策略丛书阅读力：知识读物的阅读策略,阿德丽安・吉尔,2017-08-01,接力出版社,828条评论
42.,http://product.dangdang.com/25162384.html,阅读力：阅读写作策略丛书阅读力：文学作品的阅读策略,阿德丽安・吉尔,2017-08-01,接力出版社,810条评论
43.,http://product.dangdang.com/23781967.html,小学语文儿童文学教学法,朱自强,2015-09-01,二十一世纪出版社,3452条评论
44.,http://product.dangdang.com/25162382.html,阅读力：阅读写作策略丛书写作力：创意思考的写作策略,阿德丽安・吉尔,2017-08-01,接力出版社,708条评论
45.,http://product.dangdang.com/25337784.html,世界图画书阅读与经典,彭懿,2011-09-01,接力出版社,569条评论
46.,http://product.dangdang.com/25279091.html,如何写好一个故事（2018版）,安・华福・保罗,2018-05-01,新星出版社,788条评论
47.,http://product.dangdang.com/23684132.html,怎样写作文,叶圣陶,2015-04-01,天天出版社有限责任公司,2701条评论
48.,http://product.dangdang.com/25573729.html,文学课：如何轻松理解伟大作品,托马斯・福斯特,2018-10-01,北京联合出版有限公司,1778条评论
49.,http://product.dangdang.com/25180445.html,春天的绘本课堂,袁晓峰,2017-10-01,新疆青少年出版社,609条评论
50.,http://product.dangdang.com/24229801.html,林良爷爷漫谈儿童文学：浅语的艺术|纯真的境界（共两册）,林良,2017-04-01,福建少年儿童出版社,920条评论
51.,http://product.dangdang.com/25180469.html,秋天的绘本课堂,袁晓峰,2017-10-08,新疆青少年出版社,597条评论
52.,http://product.dangdang.com/24174451.html,幻想文学：阅读与经典,彭懿,2017-01-01,二十一世纪出版社,740条评论
53.,http://product.dangdang.com/25337783.html,世界儿童文学阅读与经典,彭懿,2018-10-01,接力出版社,238条评论
54.,http://product.dangdang.com/23951318.html,亲子阅读ABC,袁晓峰,2016-04-29,新疆青少年出版社,1433条评论
55.,http://product.dangdang.com/24179325.html,观赏图画书中的图画,珍・杜南,2017-01-01,新疆青少年出版社,1517条评论
56.,http://product.dangdang.com/25535083.html,一本书读透图画书（奇想国当代精选）,苏菲・范德林登,2018-11-01,世界图书出版公司,470条评论
57.,http://product.dangdang.com/25535645.html,图画书这样读,彭懿,2018-10-01,接力出版社,10985条评论
58.,http://product.dangdang.com/23993698.html,儿童阅读专家指导书系・享受图画书,方卫平,2016-05-06,明天出版社,763条评论
59.,http://product.dangdang.com/23684133.html,怎样学语文,叶圣陶,2015-04-01,天天出版社有限责任公司,1395条评论
60.,http://product.dangdang.com/24041122.html,心弦奏响的一刻：漪然赏读37部经典童书（纪念珍藏版）（奇想国童书）,漪然,2016-09-01,北京联合出版公司,816条评论
61.,http://product.dangdang.com/23961601.html,儿童阅读专家指导书系・图画书的讲读艺术,陈晖,2016-05-04,明天出版社,1128条评论
62.,http://product.dangdang.com/25306756.html,会写作的大脑1：梵高和面包车（修订版）,邦妮・纽鲍尔,2018-07-31,中国人民大学出版社,198条评论
63.,http://product.dangdang.com/23515886.html,如何打造书香校园-小学儿童阅读活动指导手册,苏霞,2014-07-01,新疆青少年出版社,947条评论
64.,http://product.dangdang.com/22925803.html,Q书架.爱拼点读笔升级版（8G内存 随时扩容 操作更便捷）,爱拼益智产品教育研发组,2012-12-01,机械工业出版社,113条评论
65.,http://product.dangdang.com/25327990.html,观赏图画书中的图画,珍・杜南,2018-08-01,新疆青少年出版社,222条评论
66.,http://product.dangdang.com/25277860.html,中国儿童文学四十年,方卫平,2018-05-17,中国少年儿童出版社,203条评论
67.,http://product.dangdang.com/25117974.html,中国儿童文学名家论集・美是不会欺骗人的,刘绪源,2017-05-01,青岛出版社,141条评论
68.,http://product.dangdang.com/23684131.html,怎样做数学游戏,叶圣陶,2015-04-01,天天出版社有限责任公司,703条评论
69.,http://product.dangdang.com/24185009.html,浅语的艺术――台湾儿童文学馆・理论馆,林良,2017-02-01,福建少年儿童出版社,362条评论
70.,http://product.dangdang.com/23993696.html,儿童阅读专家指导书系・经典这样告诉我们,朱自强,2016-05-05,明天出版社,584条评论
71.,http://product.dangdang.com/25306752.html,会写作的大脑3：33个我（修订版）,邦妮・纽鲍尔,2018-07-31,中国人民大学出版社,102条评论
72.,http://product.dangdang.com/24158616.html,儿童文学的童年想象,张嘉骅,2016-12-01,福建少年儿童出版社,260条评论
73.,http://product.dangdang.com/24185324.html,打开图画书：我家的亲子阅读课,罗巨浪,2017-01-01,黑龙江少年儿童出版社,220条评论
74.,http://product.dangdang.com/23684134.html,怎样爱科学,叶圣陶,2015-04-01,天天出版社有限责任公司,406条评论
75.,http://product.dangdang.com/25306753.html,会写作的大脑2：怪物大碰撞（修订版）,邦妮・纽鲍尔,2018-07-31,中国人民大学出版社,69条评论
76.,http://product.dangdang.com/9314168.html,由图画书爱上阅读,余耀,2007-03-01,北京师范大学出版社,955条评论
77.,http://product.dangdang.com/25117968.html,中国儿童文学名家论集・儿童文学的“思想革命”,朱自强,2017-05-01,青岛出版社,71条评论
78.,http://product.dangdang.com/25117970.html,中国儿童文学名家论集・游戏精神与儿童中国,班马,2017-05-01,青岛出版社,76条评论
79.,http://product.dangdang.com/25306754.html,会写作的大脑4：亲爱的日记（修订版）,邦妮・纽鲍尔,2018-07-31,中国人民大学出版社,54条评论
80.,http://product.dangdang.com/24208018.html,民间文学大课堂 名师儿童文学教学丛书,何夏寿,2017-03-01,二十一世纪出版社,165条评论
81.,http://product.dangdang.com/24017418.html,儿童文学小论,谭旭东,2016-05-01,海豚出版社,143条评论
82.,http://product.dangdang.com/25117969.html,中国儿童文学名家论集・幻想之门,彭懿,2017-05-01,青岛出版社,59条评论
83.,http://product.dangdang.com/25117975.html,中国儿童文学名家论集・思想的跋涉,方卫平,2017-05-01,青岛出版社,58条评论
84.,http://product.dangdang.com/23801331.html,我是编辑（当当独家）,叶至善,1998-04-01,中国少年儿童出版社,95条评论
85.,http://product.dangdang.com/25117973.html,中国儿童文学名家论集・文学独奏,金燕玉,2017-05-01,青岛出版社,43条评论
86.,http://product.dangdang.com/23414158.html,《儿童文学的多维思考》（国家出版基金资助项目，“鲁迅文学奖”获得者谭旭东又一儿童文学理论力作）,谭旭东,2013-10-01,未来出版社,215条评论
87.,http://product.dangdang.com/25117976.html,中国儿童文学名家论集・童年镜像,孙建江,2017-05-01,青岛出版社,43条评论
88.,http://product.dangdang.com/25117971.html,中国儿童文学名家论集・儿童文学的真善美,王泉根,2017-05-01,青岛出版社,45条评论
89.,http://product.dangdang.com/23390717.html,与最合适的绘本相遇,曲奇,2013-12-01,北京联合出版公司,1008条评论
90.,http://product.dangdang.com/24186680.html,现代童话美学研究,周晓波,2016-10-06,未来出版社,77条评论
91.,http://product.dangdang.com/25117977.html,中国儿童文学名家论集・轮回与救赎,汤锐,2017-05-01,青岛出版社,40条评论
92.,http://product.dangdang.com/24188603.html,纯真的境界（林良爷爷谈儿童文学）,林良,2017-03-01,福建少年儿童出版社,125条评论
93.,http://product.dangdang.com/24104826.html,让头脑更聪明：科学思维方法（下篇）――特殊思维方法,朱立峰,2016-11-01,广东科技出版社,82条评论
94.,http://product.dangdang.com/25117972.html,中国儿童文学名家论集・走向儿童文学的新观念,吴其南,2017-05-01,青岛出版社,36条评论
95.,http://product.dangdang.com/23561508.html,最受孩子欢迎的阅读课,郭志刚,2014-09-01,北京工业大学出版社,170条评论
96.,http://product.dangdang.com/23798626.html,彩绘世界经典书系：我来写日记（彩绘注音版）,梁平,2015-09-01,万卷出版公司,182条评论
97.,http://product.dangdang.com/23543343.html,怎样给孩子讲故事,小雨姐姐,2014-09-01,接力出版社,1805条评论
98.,http://product.dangdang.com/23898634.html,家长如何读懂孩子的绘画作品：孩子笔下的小饼干和围裙妈妈原创形象优秀作品200例解析,杨帅,2015-12-01,接力出版社,89条评论
99.,http://product.dangdang.com/25337478.html,童书之光,吴双英,2018-09-01,青岛出版社,11条评论
100.,http://product.dangdang.com/22615296.html,童话应该这样读（帮助孩子学会阅读，爱上阅读，享受阅读；实用权威，深入浅出，妙趣横生：）,汤锐,2012-02-01,接力出版社,516条评论
101.,http://product.dangdang.com/23797292.html,语文课和阅读课优秀课案选,屈浩,2015-10-01,黑龙江少年儿童出版社,53条评论
102.,http://product.dangdang.com/23436047.html,书，儿童与成人,保罗,2014-03-01,湖南少儿出版社,2552条评论
103.,http://product.dangdang.com/25213318.html,阅读操作DIY BOOK（3-4岁）,李云翔,2018-01-10,辽海出版社,1条评论
104.,http://product.dangdang.com/25213320.html,阅读操作DIY BOOK（5-6岁）,李云翔,2018-01-01,辽海出版社,1条评论
105.,http://product.dangdang.com/22615297.html,散文应该这样读（帮助孩子学会阅读，爱上阅读，享受阅读；实用权威，深入浅出，妙趣横生：）,徐鲁,2012-02-01,接力出版社,530条评论
